id,inventory_id,project_id,unit_number,unit_type,block,area_marla,rate_per_marla,status,factor_details,notes,created_at,updated_at,plot_coordinates,plot_offset,is_manual_plot
e8185551-55eb-4a59-b36d-73cb0910de70,INV-00038,f98b3053-9a60-4752-9ea9-164abdb7d691,29,plot,IB-2,4.96,1550000.00,available,"","",2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
cf84c134-1f7c-40a7-8f2e-dc3a1b7339a3,INV-00039,f98b3053-9a60-4752-9ea9-164abdb7d691,30,plot,IB-2,4.96,1550000.00,available,"","",2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
40fb9f4c-c306-4bc3-aa7c-505e06bf4379,INV-00040,f98b3053-9a60-4752-9ea9-164abdb7d691,31,plot,IB-2,4.96,1550000.00,available,"","",2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
e2246781-c857-4edf-907a-8d053b504612,INV-00041,f98b3053-9a60-4752-9ea9-164abdb7d691,32,plot,IB-2,5.24,1627500.00,available,Corner,Factor: 5%,2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
99bcaad0-00aa-48f1-a85a-cb37af1e9e5a,INV-00042,f98b3053-9a60-4752-9ea9-164abdb7d691,33,plot,IB-2,5.24,1550000.00,available,"","",2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
e4d1dde3-9200-4e17-94f1-cd56d59d7668,INV-00043,f98b3053-9a60-4752-9ea9-164abdb7d691,34,plot,IB-2,5.24,1550000.00,available,"","",2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
4f37b9a6-d566-442d-a022-054b32e6ef04,INV-00044,f98b3053-9a60-4752-9ea9-164abdb7d691,35,plot,IB-2,5.24,1550000.00,available,"","",2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
b27c1b54-c7ef-4c48-8984-bbcf74ff2fa6,INV-00045,f98b3053-9a60-4752-9ea9-164abdb7d691,36,plot,IB-2,5.24,1550000.00,available,"","",2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
7374cb38-7ed7-4e60-87f2-37eaf669afd7,INV-00046,f98b3053-9a60-4752-9ea9-164abdb7d691,37,plot,IB-2,5.24,1550000.00,available,"","",2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
63dbbdc3-c014-498b-9a44-4dedd0843a1d,INV-00047,f98b3053-9a60-4752-9ea9-164abdb7d691,38,plot,IB-2,5.24,1550000.00,available,"","",2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
cb6241c0-f286-4cd8-8aa9-7b75d21edd88,INV-00048,f98b3053-9a60-4752-9ea9-164abdb7d691,39,plot,IB-2,5.24,1550000.00,available,"","",2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
c5d39f7f-4048-4082-9dc7-30f212ab03b0,INV-00049,f98b3053-9a60-4752-9ea9-164abdb7d691,40,plot,IB-2,5.24,1550000.00,available,"","",2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
e8e9cb97-3a45-438d-aa55-55ed477d0887,INV-00050,f98b3053-9a60-4752-9ea9-164abdb7d691,41,plot,IB-2,7.17,1705000.00,available,Corner+Boulevard,Factor: 10%,2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
ab13e7b7-94a6-4749-90f2-5fe955219d13,INV-00051,f98b3053-9a60-4752-9ea9-164abdb7d691,42,plot,IB-2,7.17,1627500.00,available,Boulevard,Factor: 5%,2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
39764e77-2017-4fe7-8c7a-00603d087acc,INV-00052,f98b3053-9a60-4752-9ea9-164abdb7d691,43,plot,IB-2,7.17,1705000.00,available,Corner+Boulevard+Park,Factor: 10%,2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
378f3f7c-b958-4b3f-b7bb-922cf02f2d4b,INV-00053,f98b3053-9a60-4752-9ea9-164abdb7d691,44,plot,IB-2,5.51,1627500.00,available,Park,Factor: 5%,2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
ce6ff05f-30a9-467d-ab35-b924d7f4f8ee,INV-00054,f98b3053-9a60-4752-9ea9-164abdb7d691,45,plot,IB-2,5.51,1627500.00,available,Park,Factor: 5%,2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
eef9dffd-84c5-4714-9053-625ad9920bf2,INV-00055,f98b3053-9a60-4752-9ea9-164abdb7d691,46,plot,IB-2,5.51,1627500.00,available,Park,Factor: 5%,2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
3c593d94-1ddd-43d6-9d08-994232348779,INV-00056,f98b3053-9a60-4752-9ea9-164abdb7d691,47,plot,IB-2,5.51,1627500.00,available,Park,Factor: 5%,2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
196ce9d9-6bd7-424e-b4bc-d8a0bffa9269,INV-00057,f98b3053-9a60-4752-9ea9-164abdb7d691,48,plot,IB-2,5.51,1627500.00,available,Park,Factor: 5%,2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
ea9f4f71-7261-4052-9c12-39c747df7ffc,INV-00058,f98b3053-9a60-4752-9ea9-164abdb7d691,49,plot,IB-2,5.52,1627500.00,available,Park,Factor: 5%,2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
326d63d1-79a3-48d5-be47-50d487334a65,INV-00059,f98b3053-9a60-4752-9ea9-164abdb7d691,50,plot,IB-2,5.52,1627500.00,available,Park,Factor: 5%,2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
10096c96-687a-4d26-bf70-388768631656,INV-00060,f98b3053-9a60-4752-9ea9-164abdb7d691,51,plot,IB-2,5.52,1550000.00,available,"","",2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
d9d26901-5857-43c6-8e33-723d5d9a84a6,INV-00061,f98b3053-9a60-4752-9ea9-164abdb7d691,52,plot,IB-2,5.52,1705000.00,available,Corner+Mosque,Factor: 10%,2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
f3ca5d3c-51b8-48c9-95d4-a7392cf9fca6,INV-00062,f98b3053-9a60-4752-9ea9-164abdb7d691,53,plot,IB-2,5.51,1705000.00,available,Corner+Mosque,Factor: 10%,2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
f793b2b0-b156-473d-ad85-cba3749bd251,INV-00063,f98b3053-9a60-4752-9ea9-164abdb7d691,54,plot,IB-2,5.51,1627500.00,available,Mosque,Factor: 5%,2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
a7e2b73d-7bc4-41d0-8f9f-2241b8cf6b84,INV-00064,f98b3053-9a60-4752-9ea9-164abdb7d691,55,plot,IB-2,5.51,1627500.00,available,Park,Factor: 5%,2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
e2af5250-155f-465f-848e-521ca7340584,INV-00065,f98b3053-9a60-4752-9ea9-164abdb7d691,56,plot,IB-2,5.51,1627500.00,available,Park,Factor: 5%,2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
0b6f7637-6fd9-4cf4-b60a-228f6e4d6bec,INV-00066,f98b3053-9a60-4752-9ea9-164abdb7d691,57,plot,IB-2,5.51,1627500.00,available,Park,Factor: 5%,2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
4a36e33c-6ec4-4f45-b4aa-5aef59cba29f,INV-00067,f98b3053-9a60-4752-9ea9-164abdb7d691,58,plot,IB-2,5.52,1627500.00,available,Park,Factor: 5%,2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
3c2b591e-8d81-4655-a563-0f5a666cd836,INV-00068,f98b3053-9a60-4752-9ea9-164abdb7d691,59,plot,IB-2,5.52,1627500.00,available,Park,Factor: 5%,2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
f7cbf2b3-42e6-421c-88f8-6da7bb4cc2a8,INV-00069,f98b3053-9a60-4752-9ea9-164abdb7d691,60,plot,IB-2,5.52,1627500.00,available,Park,Factor: 5%,2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
23d25543-ba19-4da1-b683-5591baa5c789,INV-00070,f98b3053-9a60-4752-9ea9-164abdb7d691,61,plot,IB-2,5.52,1627500.00,available,Park,Factor: 5%,2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
13c08589-c25a-4f13-8f30-ec11ca4fe901,INV-00071,f98b3053-9a60-4752-9ea9-164abdb7d691,62,plot,IB-2,7.17,1705000.00,available,Corner+Boulevard+Park,Factor: 10%,2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
db0ddd63-4c3b-42a2-93b2-31f9f2457857,INV-00072,f98b3053-9a60-4752-9ea9-164abdb7d691,63,plot,IB-2,7.17,1627500.00,available,Boulevard,Factor: 5%,2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
79bd0436-f933-416a-a25b-e57768fc86ad,INV-00073,f98b3053-9a60-4752-9ea9-164abdb7d691,64,plot,IB-2,7.17,1705000.00,available,Corner+Boulevard,Factor: 10%,2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
9044cc4b-6335-4b11-a3e9-ba5fc91516d9,INV-00074,f98b3053-9a60-4752-9ea9-164abdb7d691,65,plot,IB-2,5.24,1550000.00,available,"","",2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
b9ae4fec-c054-47a1-a345-832cc4f5d700,INV-00075,f98b3053-9a60-4752-9ea9-164abdb7d691,66,plot,IB-2,5.24,1550000.00,available,"","",2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
ff0ab43e-e915-4b27-bb1b-4d75be00373e,INV-00076,f98b3053-9a60-4752-9ea9-164abdb7d691,67,plot,IB-2,5.24,1550000.00,available,"","",2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
b021d081-0f8d-4e67-975e-7edc704cc28b,INV-00077,f98b3053-9a60-4752-9ea9-164abdb7d691,68,plot,IB-2,5.24,1550000.00,available,"","",2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
